Image Name,length,surface,volume,convexhull_area,diameter,root_name,Spaceflight Treatment,Illumination trestment 2,Petri dish,Ecotype/Genotype,Age,Age #
Fl_Dark_Plate1_WS_day11.rsml,3.035,0.458,0.007,0,0.051,root_5,Fl,Dark,Plate1,WS,day11,11
Fl_Dark_Plate1_WS_day11.rsml,3.056,0.393,0.006,0,0.049,root_4,Fl,Dark,Plate1,WS,day11,11
Fl_Dark_Plate1_WS_day11.rsml,5.079,0.7,0.008,0,0.044,root_3,Fl,Dark,Plate1,WS,day11,11
Fl_Dark_Plate1_WS_day11.rsml,4.237,0.596,0.007,0,0.047,root_2,Fl,Dark,Plate1,WS,day11,11
Fl_Dark_Plate1_WS_day11.rsml,3.734,0.598,0.009,0,0.058,root_1,Fl,Dark,Plate1,WS,day11,11
Fl_Dark_Plate2_Col_day11.rsml,3.375,0.458,0.005,0,0.045,root_4,Fl,Dark,Plate2,Col,day11,11
Fl_Dark_Plate2_Col_day11.rsml,3.232,0.392,0.004,0,0.045,root_3,Fl,Dark,Plate2,Col,day11,11
Fl_Dark_Plate2_Col_day11.rsml,3.398,0.633,0.011,0,0.063,root_2,Fl,Dark,Plate2,Col,day11,11
Fl_Dark_Plate2_Col_day11.rsml,5.754,0.74,0.008,0,0.043,root_1,Fl,Dark,Plate2,Col,day11,11
Fl_Dark_Plate2_Col_day11.rsml,2.354,0.429,0.008,0,0.064,root_0,Fl,Dark,Plate2,Col,day11,11
Fl_Dark_Plate3_Phy_day11.rsml,3.958,0.718,0.013,0,0.062,root_5,Fl,Dark,Plate3,Phy,day11,11
Fl_Dark_Plate3_Phy_day11.rsml,1.918,0.321,0.009,0,0.062,root_4,Fl,Dark,Plate3,Phy,day11,11
Fl_Dark_Plate3_Phy_day11.rsml,3.381,0.464,0.006,0,0.047,root_3,Fl,Dark,Plate3,Phy,day11,11
Fl_Dark_Plate3_Phy_day11.rsml,3.168,0.461,0.006,0,0.05,root_2,Fl,Dark,Plate3,Phy,day11,11
Fl_Dark_Plate3_Phy_day11.rsml,4.652,0.691,0.009,0,0.05,root_1,Fl,Dark,Plate3,Phy,day11,11
Fl_Dark_Plate4_WS_day11.rsml,3.027,0.362,0.004,0,0.036,root_5,Fl,Dark,Plate4,WS,day11,11
Fl_Dark_Plate4_WS_day11.rsml,3.571,0.477,0.006,0,0.042,root_4,Fl,Dark,Plate4,WS,day11,11
Fl_Dark_Plate4_WS_day11.rsml,2.038,0.256,0.003,0,0.041,root_3,Fl,Dark,Plate4,WS,day11,11
Fl_Dark_Plate4_WS_day11.rsml,2.018,0.312,0.005,0,0.055,root_2,Fl,Dark,Plate4,WS,day11,11
Fl_Dark_Plate4_WS_day11.rsml,4.001,0.643,0.009,0,0.051,root_1,Fl,Dark,Plate4,WS,day11,11
Fl_Dark_Plate5_Col_day11.rsml,4.304,0.411,0.004,0,0.036,root_5,Fl,Dark,Plate5,Col,day11,11
Fl_Dark_Plate5_Col_day11.rsml,2.605,0.441,0.007,0,0.054,root_4,Fl,Dark,Plate5,Col,day11,11
Fl_Dark_Plate5_Col_day11.rsml,3.167,0.362,0.004,0,0.04,root_3,Fl,Dark,Plate5,Col,day11,11
Fl_Dark_Plate5_Col_day11.rsml,3.077,0.456,0.006,0,0.048,root_2,Fl,Dark,Plate5,Col,day11,11
Fl_Dark_Plate5_Col_day11.rsml,4.586,0.474,0.005,0,0.035,root_1,Fl,Dark,Plate5,Col,day11,11
Fl_Dark_Plate6_PhyD_day11.rsml,2.779,0.361,0.004,0,0.049,root_5,Fl,Dark,Plate6,PhyD,day11,11
Fl_Dark_Plate6_PhyD_day11.rsml,1.505,0.268,0.006,0,0.064,root_3,Fl,Dark,Plate6,PhyD,day11,11
Fl_Dark_Plate6_PhyD_day11.rsml,2.092,0.286,0.004,0,0.046,root_4,Fl,Dark,Plate6,PhyD,day11,11
Fl_Dark_Plate6_PhyD_day11.rsml,2.67,0.371,0.004,0,0.048,root_3,Fl,Dark,Plate6,PhyD,day11,11
Fl_Dark_Plate6_PhyD_day11.rsml,3.227,0.499,0.007,0,0.051,root_2,Fl,Dark,Plate6,PhyD,day11,11
Fl_Dark_Plate7_WS_day11.rsml,4.358,0.461,0.005,0,0.036,root_6,Fl,Dark,Plate7,WS,day11,11
Fl_Dark_Plate7_WS_day11.rsml,3.284,0.395,0.004,0,0.042,root_5,Fl,Dark,Plate7,WS,day11,11
Fl_Dark_Plate7_WS_day11.rsml,3.927,0.615,0.009,0,0.056,root_4,Fl,Dark,Plate7,WS,day11,11
Fl_Dark_Plate7_WS_day11.rsml,3.41,0.465,0.006,0,0.051,root_3,Fl,Dark,Plate7,WS,day11,11
Fl_Dark_Plate7_WS_day11.rsml,2.286,0.276,0.003,0,0.044,root_2,Fl,Dark,Plate7,WS,day11,11
Fl_Dark_Plate7_WS_day11.rsml,3.349,0.468,0.006,0,0.047,root_1,Fl,Dark,Plate7,WS,day11,11
Fl_Dark_Plate8_Col_day11.rsml,3.193,0.308,0.003,0,0.038,root_6,Fl,Dark,Plate8,Col,day11,11
Fl_Dark_Plate8_Col_day11.rsml,4.546,0.722,0.011,0,0.053,root_5,Fl,Dark,Plate8,Col,day11,11
Fl_Dark_Plate8_Col_day11.rsml,3.562,0.592,0.01,0,0.069,root_4,Fl,Dark,Plate8,Col,day11,11
Fl_Dark_Plate8_Col_day11.rsml,4.313,0.697,0.011,0,0.056,root_3,Fl,Dark,Plate8,Col,day11,11
Fl_Dark_Plate8_Col_day11.rsml,3.174,0.388,0.005,0,0.041,root_2,Fl,Dark,Plate8,Col,day11,11
Fl_Dark_Plate8_Col_day11.rsml,3.025,0.459,0.006,0,0.049,root_1,Fl,Dark,Plate8,Col,day11,11
Fl_Dark_Plate9_PhyD_day11.rsml,4.258,0.528,0.006,0,0.04,root_6,Fl,Dark,Plate9,PhyD,day11,11
Fl_Dark_Plate9_PhyD_day11.rsml,3.013,0.309,0.003,0,0.035,root_5,Fl,Dark,Plate9,PhyD,day11,11
Fl_Dark_Plate9_PhyD_day11.rsml,2.686,0.339,0.004,0,0.047,root_4,Fl,Dark,Plate9,PhyD,day11,11
Fl_Dark_Plate9_PhyD_day11.rsml,3.962,0.408,0.005,0,0.037,root_3,Fl,Dark,Plate9,PhyD,day11,11
Fl_Dark_Plate9_PhyD_day11.rsml,3.147,0.371,0.004,0,0.041,root_2,Fl,Dark,Plate9,PhyD,day11,11
Fl_Dark_Plate9_PhyD_day11.rsml,2.97,0.391,0.005,0,0.042,root_1,Fl,Dark,Plate9,PhyD,day11,11
Fl_Light_Plate1_WS_day11.rsml,3.361,0.369,0.004,0,0.037,root_5,Fl,Light,Plate1,WS,day11,11
Fl_Light_Plate1_WS_day11.rsml,4.452,0.628,0.009,0,0.046,root_4,Fl,Light,Plate1,WS,day11,11
Fl_Light_Plate1_WS_day11.rsml,3.852,0.53,0.007,0,0.048,root_3,Fl,Light,Plate1,WS,day11,11
Fl_Light_Plate1_WS_day11.rsml,4.264,0.693,0.012,0,0.048,root_2,Fl,Light,Plate1,WS,day11,11
Fl_Light_Plate1_WS_day11.rsml,2.777,0.456,0.007,0,0.055,root_1,Fl,Light,Plate1,WS,day11,11
Fl_Light_Plate2_Col_day11.rsml,3.048,0.673,0.014,0,0.069,root_6,Fl,Light,Plate2,Col,day11,11
Fl_Light_Plate2_Col_day11.rsml,2.361,0.471,0.009,0,0.068,root_5,Fl,Light,Plate2,Col,day11,11
Fl_Light_Plate2_Col_day11.rsml,2.384,0.309,0.004,0,0.044,root_4,Fl,Light,Plate2,Col,day11,11
Fl_Light_Plate2_Col_day11.rsml,3.281,0.434,0.005,0,0.046,root_3,Fl,Light,Plate2,Col,day11,11
Fl_Light_Plate2_Col_day11.rsml,2.852,0.479,0.009,0,0.06,root_2,Fl,Light,Plate2,Col,day11,11
Fl_Light_Plate2_Col_day11.rsml,3.852,0.788,0.014,0,0.068,root_1,Fl,Light,Plate2,Col,day11,11
Fl_Light_Plate3_PhyD_day11.rsml,3.692,0.873,0.019,0,0.077,root_5,Fl,Light,Plate3,PhyD,day11,11
Fl_Light_Plate3_PhyD_day11.rsml,3.571,0.741,0.015,0,0.073,root_4,Fl,Light,Plate3,PhyD,day11,11
Fl_Light_Plate3_PhyD_day11.rsml,2.975,0.697,0.016,0,0.082,root_3,Fl,Light,Plate3,PhyD,day11,11
Fl_Light_Plate3_PhyD_day11.rsml,3.262,0.624,0.013,0,0.071,root_2,Fl,Light,Plate3,PhyD,day11,11
Fl_Light_Plate3_PhyD_day11.rsml,3.351,0.776,0.016,0,0.079,root_1,Fl,Light,Plate3,PhyD,day11,11
Fl_Light_Plate4_WS_day11.rsml,2.66,0.328,0.004,0,0.041,root_5,Fl,Light,Plate4,WS,day11,11
Fl_Light_Plate4_WS_day11.rsml,3.747,0.426,0.004,0,0.038,root_4,Fl,Light,Plate4,WS,day11,11
Fl_Light_Plate4_WS_day11.rsml,3.387,0.376,0.003,0,0.036,root_3,Fl,Light,Plate4,WS,day11,11
Fl_Light_Plate4_WS_day11.rsml,2.749,0.314,0.003,0,0.036,root_2,Fl,Light,Plate4,WS,day11,11
Fl_Light_Plate4_WS_day11.rsml,3.434,0.5,0.007,0,0.049,root_1,Fl,Light,Plate4,WS,day11,11
Fl_Light_Plate5_Col_day11.rsml,2.172,0.373,0.006,0,0.054,root_6,Fl,Light,Plate5,Col,day11,11
Fl_Light_Plate5_Col_day11.rsml,2.17,0.276,0.003,0,0.044,root_5,Fl,Light,Plate5,Col,day11,11
Fl_Light_Plate5_Col_day11.rsml,2.971,0.489,0.008,0,0.051,root_4,Fl,Light,Plate5,Col,day11,11
Fl_Light_Plate5_Col_day11.rsml,2.712,0.334,0.004,0,0.044,root_3,Fl,Light,Plate5,Col,day11,11
Fl_Light_Plate5_Col_day11.rsml,2.105,0.284,0.004,0,0.046,root_2,Fl,Light,Plate5,Col,day11,11
Fl_Light_Plate5_Col_day11.rsml,2.75,0.412,0.006,0,0.05,root_1,Fl,Light,Plate5,Col,day11,11
Fl_Light_Plate6_PhyD_day11.rsml,2.929,0.601,0.011,0,0.068,root_5,Fl,Light,Plate6,PhyD,day11,11
Fl_Light_Plate6_PhyD_day11.rsml,2.839,0.453,0.006,0,0.054,root_4,Fl,Light,Plate6,PhyD,day11,11
Fl_Light_Plate6_PhyD_day11.rsml,3.486,0.831,0.023,0,0.072,root_3,Fl,Light,Plate6,PhyD,day11,11
Fl_Light_Plate6_PhyD_day11.rsml,3.499,0.464,0.006,0,0.046,root_2,Fl,Light,Plate6,PhyD,day11,11
Fl_Light_Plate6_PhyD_day11.rsml,3.848,0.732,0.021,0,0.076,root_1,Fl,Light,Plate6,PhyD,day11,11
Fl_Light_Plate7_WS_day11.rsml,2.793,0.413,0.007,0,0.047,root_5,Fl,Light,Plate7,WS,day11,11
Fl_Light_Plate7_WS_day11.rsml,3.367,0.489,0.008,0,0.05,root_4,Fl,Light,Plate7,WS,day11,11
Fl_Light_Plate7_WS_day11.rsml,3.027,0.612,0.011,0,0.067,root_3,Fl,Light,Plate7,WS,day11,11
Fl_Light_Plate7_WS_day11.rsml,3.44,0.673,0.012,0,0.066,root_2,Fl,Light,Plate7,WS,day11,11
Fl_Light_Plate7_WS_day11.rsml,3.359,0.475,0.007,0,0.048,root_1,Fl,Light,Plate7,WS,day11,11
Fl_Light_Plate8_Col_day11.rsml,1.582,0.309,0.008,0,0.06,root_5,Fl,Light,Plate8,Col,day11,11
Fl_Light_Plate8_Col_day11.rsml,1.45,0.185,0.003,0,0.055,root_4,Fl,Light,Plate8,Col,day11,11
Fl_Light_Plate8_Col_day11.rsml,1.744,0.26,0.003,0,0.048,root_3,Fl,Light,Plate8,Col,day11,11
Fl_Light_Plate8_Col_day11.rsml,1.857,0.233,0.003,0,0.045,root_2,Fl,Light,Plate8,Col,day11,11
Fl_Light_Plate8_Col_day11.rsml,1.201,0.185,0.003,0,0.055,root_1,Fl,Light,Plate8,Col,day11,11
Fl_Light_Plate9_PhyD_day11.rsml,2.504,0.572,0.016,0,0.062,root_5,Fl,Light,Plate9,PhyD,day11,11
Fl_Light_Plate9_PhyD_day11.rsml,2.846,0.634,0.015,0,0.08,root_4,Fl,Light,Plate9,PhyD,day11,11
Fl_Light_Plate9_PhyD_day11.rsml,2.748,0.493,0.009,0,0.057,root_3,Fl,Light,Plate9,PhyD,day11,11
Fl_Light_Plate9_PhyD_day11.rsml,3.176,0.484,0.007,0,0.051,root_2,Fl,Light,Plate9,PhyD,day11,11
Fl_Light_Plate9_PhyD_day11.rsml,2.813,0.404,0.005,0,0.045,root_1,Fl,Light,Plate9,PhyD,day11,11
Gr_Dark_Plate2_Col_day11.rsml,3.788,0.848,0.023,0,0.076,root_6,Gr,Dark,Plate2,Col,day11,11
Gr_Dark_Plate2_Col_day11.rsml,4.247,1.052,0.03,0,0.077,root_5,Gr,Dark,Plate2,Col,day11,11
Gr_Dark_Plate2_Col_day11.rsml,3.566,0.481,0.006,0,0.047,root_4,Gr,Dark,Plate2,Col,day11,11
Gr_Dark_Plate2_Col_day11.rsml,2.132,0.306,0.004,0,0.052,root_3,Gr,Dark,Plate2,Col,day11,11
Gr_Dark_Plate2_Col_day11.rsml,3.559,0.827,0.02,0,0.077,root_2,Gr,Dark,Plate2,Col,day11,11
Gr_Dark_Plate2_Col_day11.rsml,3.643,0.564,0.008,0,0.051,root_1,Gr,Dark,Plate2,Col,day11,11
Gr_Dark_Plate3_PhyD_day11.rsml,3.058,0.573,0.012,0,0.069,root_6,Gr,Dark,Plate3,PhyD,day11,11
Gr_Dark_Plate3_PhyD_day11.rsml,3.447,0.683,0.013,0,0.064,root_5,Gr,Dark,Plate3,PhyD,day11,11
Gr_Dark_Plate3_PhyD_day11.rsml,3.435,0.56,0.008,0,0.06,root_4,Gr,Dark,Plate3,PhyD,day11,11
Gr_Dark_Plate3_PhyD_day11.rsml,4.104,0.842,0.018,0,0.068,root_3,Gr,Dark,Plate3,PhyD,day11,11
Gr_Dark_Plate3_PhyD_day11.rsml,4.701,0.736,0.01,0,0.053,root_2,Gr,Dark,Plate3,PhyD,day11,11
Gr_Dark_Plate3_PhyD_day11.rsml,4.589,0.672,0.009,0,0.052,root_1,Gr,Dark,Plate3,PhyD,day11,11
Gr_Dark_Plate4_WS_day11.rsml,3.035,0.474,0.006,0,0.055,root_6,Gr,Dark,Plate4,WS,day11,11
Gr_Dark_Plate4_WS_day11.rsml,3.125,0.448,0.006,0,0.049,root_5,Gr,Dark,Plate4,WS,day11,11
Gr_Dark_Plate4_WS_day11.rsml,3.633,0.486,0.006,0,0.047,root_4,Gr,Dark,Plate4,WS,day11,11
Gr_Dark_Plate4_WS_day11.rsml,3.504,0.465,0.005,0,0.047,root_3,Gr,Dark,Plate4,WS,day11,11
Gr_Dark_Plate4_WS_day11.rsml,3.857,0.487,0.005,0,0.043,root_2,Gr,Dark,Plate4,WS,day11,11
Gr_Dark_Plate4_WS_day11.rsml,4.132,0.644,0.009,0,0.054,root_1,Gr,Dark,Plate4,WS,day11,11
Gr_Dark_Plate5_Col_day11.rsml,3.068,0.412,0.005,0,0.048,root_6,Gr,Dark,Plate5,Col,day11,11
Gr_Dark_Plate5_Col_day11.rsml,3.205,0.512,0.009,0,0.066,root_5,Gr,Dark,Plate5,Col,day11,11
Gr_Dark_Plate5_Col_day11.rsml,3.156,0.578,0.011,0,0.058,root_4,Gr,Dark,Plate5,Col,day11,11
Gr_Dark_Plate5_Col_day11.rsml,4.479,0.648,0.008,0,0.049,root_3,Gr,Dark,Plate5,Col,day11,11
Gr_Dark_Plate5_Col_day11.rsml,3.706,0.498,0.006,0,0.046,root_2,Gr,Dark,Plate5,Col,day11,11
Gr_Dark_Plate5_Col_day11.rsml,3.686,0.623,0.01,0,0.055,root_1,Gr,Dark,Plate5,Col,day11,11
Gr_Dark_Plate6_PhyD_day11.rsml,4.958,1.342,0.034,0,0.084,root_6,Gr,Dark,Plate6,PhyD,day11,11
Gr_Dark_Plate6_PhyD_day11.rsml,1.808,0.296,0.006,0,0.062,root_5,Gr,Dark,Plate6,PhyD,day11,11
Gr_Dark_Plate6_PhyD_day11.rsml,3.013,0.414,0.006,0,0.05,root_4,Gr,Dark,Plate6,PhyD,day11,11
Gr_Dark_Plate6_PhyD_day11.rsml,4.026,0.609,0.009,0,0.052,root_3,Gr,Dark,Plate6,PhyD,day11,11
Gr_Dark_Plate6_PhyD_day11.rsml,4.292,0.635,0.009,0,0.05,root_2,Gr,Dark,Plate6,PhyD,day11,11
Gr_Dark_Plate6_PhyD_day11.rsml,4.177,0.779,0.017,0,0.058,root_1,Gr,Dark,Plate6,PhyD,day11,11
Gr_Dark_Plate7_WS_day11.rsml,4.462,0.58,0.008,0,0.048,root_6,Gr,Dark,Plate7,WS,day11,11
Gr_Dark_Plate7_WS_day11.rsml,4.473,0.753,0.011,0,0.055,root_5,Gr,Dark,Plate7,WS,day11,11
Gr_Dark_Plate7_WS_day11.rsml,4.232,0.703,0.011,0,0.06,root_4,Gr,Dark,Plate7,WS,day11,11
Gr_Dark_Plate7_WS_day11.rsml,3.842,0.634,0.011,0,0.055,root_3,Gr,Dark,Plate7,WS,day11,11
Gr_Dark_Plate7_WS_day11.rsml,3.396,0.493,0.006,0,0.049,root_2,Gr,Dark,Plate7,WS,day11,11
Gr_Dark_Plate7_WS_day11.rsml,3.717,0.523,0.006,0,0.049,root_1,Gr,Dark,Plate7,WS,day11,11
Gr_Dark_Plate8_Col_day11.rsml,3.529,0.649,0.012,0,0.065,root_6,Gr,Dark,Plate8,Col,day11,11
Gr_Dark_Plate8_Col_day11.rsml,4.63,0.929,0.018,0,0.068,root_5,Gr,Dark,Plate8,Col,day11,11
Gr_Dark_Plate8_Col_day11.rsml,3.777,0.548,0.008,0,0.049,root_4,Gr,Dark,Plate8,Col,day11,11
Gr_Dark_Plate8_Col_day11.rsml,2.909,0.434,0.006,0,0.054,root_3,Gr,Dark,Plate8,Col,day11,11
Gr_Dark_Plate8_Col_day11.rsml,3.349,0.574,0.009,0,0.056,root_2,Gr,Dark,Plate8,Col,day11,11
Gr_Dark_Plate8_Col_day11.rsml,3.94,0.648,0.01,0,0.054,root_1,Gr,Dark,Plate8,Col,day11,11
Gr_Dark_Plate9_PhyD_day11.rsml,3.277,0.479,0.007,0,0.052,root_6,Gr,Dark,Plate9,PhyD,day11,11
Gr_Dark_Plate9_PhyD_day11.rsml,3.259,0.638,0.012,0,0.063,root_5,Gr,Dark,Plate9,PhyD,day11,11
Gr_Dark_Plate9_PhyD_day11.rsml,2.948,0.487,0.007,0,0.054,root_4,Gr,Dark,Plate9,PhyD,day11,11
Gr_Dark_Plate9_PhyD_day11.rsml,3.149,0.59,0.012,0,0.069,root_3,Gr,Dark,Plate9,PhyD,day11,11
Gr_Dark_Plate9_PhyD_day11.rsml,3.314,0.621,0.012,0,0.063,root_2,Gr,Dark,Plate9,PhyD,day11,11
Gr_Dark_Plate9_PhyD_day11.rsml,3.784,0.553,0.007,0,0.053,root_1,Gr,Dark,Plate9,PhyD,day11,11
Gr_Light_Plate1_WS_day11.rsml,4.008,0.683,0.011,0,0.05,root_5,Gr,Light,Plate1,WS,day11,11
Gr_Light_Plate1_WS_day11.rsml,3.508,0.621,0.012,0,0.062,root_4,Gr,Light,Plate1,WS,day11,11
Gr_Light_Plate1_WS_day11.rsml,3.823,0.564,0.007,0,0.049,root_3,Gr,Light,Plate1,WS,day11,11
Gr_Light_Plate1_WS_day11.rsml,4.134,0.69,0.011,0,0.057,root_2,Gr,Light,Plate1,WS,day11,11
Gr_Light_Plate1_WS_day11.rsml,3.812,0.595,0.009,0,0.053,root_1,Gr,Light,Plate1,WS,day11,11
Gr_Light_Plate2_Col_day11.rsml,3.136,0.557,0.009,0,0.054,root_5,Gr,Light,Plate2,Col,day11,11
Gr_Light_Plate2_Col_day11.rsml,2.625,0.435,0.006,0,0.055,root_4,Gr,Light,Plate2,Col,day11,11
Gr_Light_Plate2_Col_day11.rsml,2.454,0.416,0.008,0,0.056,root_3,Gr,Light,Plate2,Col,day11,11
Gr_Light_Plate2_Col_day11.rsml,2.983,0.394,0.005,0,0.046,root_2,Gr,Light,Plate2,Col,day11,11
Gr_Light_Plate2_Col_day11.rsml,2.751,0.363,0.004,0,0.046,root_1,Gr,Light,Plate2,Col,day11,11
Gr_Light_Plate3_PhyD_day11.rsml,3.444,0.413,0.005,0,0.045,root_6,Gr,Light,Plate3,PhyD,day11,11
Gr_Light_Plate3_PhyD_day11.rsml,4.001,0.714,0.014,0,0.055,root_5,Gr,Light,Plate3,PhyD,day11,11
Gr_Light_Plate3_PhyD_day11.rsml,2.773,0.43,0.007,0,0.056,root_4,Gr,Light,Plate3,PhyD,day11,11
Gr_Light_Plate3_PhyD_day11.rsml,3.766,0.56,0.008,0,0.051,root_3,Gr,Light,Plate3,PhyD,day11,11
Gr_Light_Plate3_PhyD_day11.rsml,3.459,0.524,0.008,0,0.054,root_2,Gr,Light,Plate3,PhyD,day11,11
Gr_Light_Plate3_PhyD_day11.rsml,3.102,0.444,0.007,0,0.052,root_1,Gr,Light,Plate3,PhyD,day11,11
Gr_Light_Plate5_Col_day11.rsml,3.688,0.509,0.006,0,0.044,root_1,Gr,Light,Plate5,Col,day11,11
Gr_Light_Plate5_Col_day11.rsml,3.54,0.533,0.007,0,0.051,root_6,Gr,Light,Plate5,Col,day11,11
Gr_Light_Plate5_Col_day11.rsml,3.329,0.508,0.007,0,0.05,root_5,Gr,Light,Plate5,Col,day11,11
Gr_Light_Plate5_Col_day11.rsml,2.839,0.495,0.008,0,0.06,root_4,Gr,Light,Plate5,Col,day11,11
Gr_Light_Plate5_Col_day11.rsml,4.191,0.575,0.007,0,0.047,root_3,Gr,Light,Plate5,Col,day11,11
Gr_Light_Plate5_Col_day11.rsml,3.063,0.439,0.006,0,0.05,root_2,Gr,Light,Plate5,Col,day11,11
Gr_Light_Plate6_PhyD_day11.rsml,3.105,0.42,0.005,0,0.049,root_2,Gr,Light,Plate6,PhyD,day11,11
Gr_Light_Plate6_PhyD_day11.rsml,3.245,0.477,0.007,0,0.051,root_6,Gr,Light,Plate6,PhyD,day11,11
Gr_Light_Plate6_PhyD_day11.rsml,3.181,0.607,0.011,0,0.068,root_1,Gr,Light,Plate6,PhyD,day11,11
Gr_Light_Plate6_PhyD_day11.rsml,3.026,0.501,0.008,0,0.059,root_3,Gr,Light,Plate6,PhyD,day11,11
Gr_Light_Plate6_PhyD_day11.rsml,3.062,0.494,0.008,0,0.055,root_4,Gr,Light,Plate6,PhyD,day11,11
Gr_Light_Plate6_PhyD_day11.rsml,3.311,0.631,0.015,0,0.07,root_5,Gr,Light,Plate6,PhyD,day11,11
Gr_Light_Plate7_WS_day11.rsml,2.993,0.602,0.011,0,0.073,root_6,Gr,Light,Plate7,WS,day11,11
Gr_Light_Plate7_WS_day11.rsml,3.511,0.509,0.006,0,0.049,root_5,Gr,Light,Plate7,WS,day11,11
Gr_Light_Plate7_WS_day11.rsml,4.018,0.605,0.008,0,0.051,root_4,Gr,Light,Plate7,WS,day11,11
Gr_Light_Plate7_WS_day11.rsml,3.485,0.544,0.008,0,0.055,root_3,Gr,Light,Plate7,WS,day11,11
Gr_Light_Plate7_WS_day11.rsml,3.711,0.603,0.009,0,0.053,root_2,Gr,Light,Plate7,WS,day11,11
Gr_Light_Plate7_WS_day11.rsml,3.696,0.478,0.006,0,0.045,root_1,Gr,Light,Plate7,WS,day11,11